timestamp, power.draw []
2023/11/20 16:28:40.841, 30.16 
2023/11/20 16:28:40.846, 32.57 
2023/11/20 16:28:40.851, 32.57 
2023/11/20 16:28:40.856, 32.57 
2023/11/20 16:28:40.862, 32.57 
2023/11/20 16:28:40.867, 32.57 
2023/11/20 16:28:40.872, 32.57 
2023/11/20 16:28:40.877, 32.57 
2023/11/20 16:28:40.882, 32.57 
2023/11/20 16:28:40.888, 32.57 
2023/11/20 16:28:40.893, 32.57 
2023/11/20 16:28:40.898, 32.57 
2023/11/20 16:28:40.903, 32.57 
2023/11/20 16:28:40.908, 32.57 
2023/11/20 16:28:40.913, 32.57 
2023/11/20 16:28:40.918, 32.57 
2023/11/20 16:28:40.924, 32.57 
2023/11/20 16:28:40.929, 32.57 
2023/11/20 16:28:40.937, 32.57 
2023/11/20 16:28:40.942, 32.57 
2023/11/20 16:28:40.947, 35.32 
2023/11/20 16:28:40.952, 35.32 
2023/11/20 16:28:40.957, 35.32 
2023/11/20 16:28:40.963, 35.32 
2023/11/20 16:28:40.968, 35.32 
2023/11/20 16:28:40.973, 35.32 
2023/11/20 16:28:40.978, 35.32 
2023/11/20 16:28:40.983, 35.32 
2023/11/20 16:28:40.988, 35.32 
2023/11/20 16:28:40.993, 35.32 
2023/11/20 16:28:40.999, 35.32 
2023/11/20 16:28:41.004, 35.32 
2023/11/20 16:28:41.009, 35.32 
2023/11/20 16:28:41.014, 35.32 
2023/11/20 16:28:41.019, 35.32 
2023/11/20 16:28:41.025, 35.32 
2023/11/20 16:28:41.030, 35.32 
2023/11/20 16:28:41.035, 35.32 
2023/11/20 16:28:41.040, 35.32 
2023/11/20 16:28:41.045, 37.69 
2023/11/20 16:28:41.050, 37.69 
2023/11/20 16:28:41.056, 37.69 
2023/11/20 16:28:41.061, 37.69 
2023/11/20 16:28:41.066, 37.69 
2023/11/20 16:28:41.071, 37.69 
2023/11/20 16:28:41.076, 37.69 
2023/11/20 16:28:41.081, 37.69 
2023/11/20 16:28:41.086, 37.69 
2023/11/20 16:28:41.092, 37.69 
2023/11/20 16:28:41.097, 37.69 
2023/11/20 16:28:41.102, 37.69 
2023/11/20 16:28:41.107, 37.69 
2023/11/20 16:28:41.112, 37.69 
2023/11/20 16:28:41.117, 37.69 
2023/11/20 16:28:41.123, 37.69 
2023/11/20 16:28:41.128, 37.69 
2023/11/20 16:28:41.133, 37.69 
2023/11/20 16:28:41.138, 37.69 
2023/11/20 16:28:41.143, 37.69 
2023/11/20 16:28:41.148, 40.28 
2023/11/20 16:28:41.153, 40.28 
2023/11/20 16:28:41.158, 40.28 
2023/11/20 16:28:41.163, 40.28 
2023/11/20 16:28:41.168, 40.28 
2023/11/20 16:28:41.174, 40.28 
2023/11/20 16:28:41.179, 40.28 
2023/11/20 16:28:41.184, 40.28 
2023/11/20 16:28:41.189, 40.28 
2023/11/20 16:28:41.194, 40.28 
2023/11/20 16:28:41.199, 40.28 
2023/11/20 16:28:41.204, 40.28 
2023/11/20 16:28:41.209, 40.28 
2023/11/20 16:28:41.214, 40.28 
2023/11/20 16:28:41.220, 40.28 
2023/11/20 16:28:41.225, 40.28 
2023/11/20 16:28:41.230, 40.28 
2023/11/20 16:28:41.235, 40.28 
2023/11/20 16:28:41.240, 40.28 
2023/11/20 16:28:41.245, 42.99 
2023/11/20 16:28:41.250, 42.99 
2023/11/20 16:28:41.255, 42.99 
2023/11/20 16:28:41.260, 42.99 
2023/11/20 16:28:41.265, 42.99 
2023/11/20 16:28:41.271, 42.99 
2023/11/20 16:28:41.276, 42.99 
2023/11/20 16:28:41.281, 42.99 
2023/11/20 16:28:41.286, 42.99 
2023/11/20 16:28:41.291, 42.99 
2023/11/20 16:28:41.296, 42.99 
2023/11/20 16:28:41.301, 42.99 
2023/11/20 16:28:41.306, 42.99 
2023/11/20 16:28:41.311, 42.99 
2023/11/20 16:28:41.317, 42.99 
2023/11/20 16:28:41.322, 42.99 
2023/11/20 16:28:41.327, 42.99 
2023/11/20 16:28:41.332, 42.99 
2023/11/20 16:28:41.337, 42.99 
2023/11/20 16:28:41.342, 42.99 
2023/11/20 16:28:41.347, 45.71 
2023/11/20 16:28:41.352, 45.71 
2023/11/20 16:28:41.357, 45.71 
2023/11/20 16:28:41.362, 45.71 
2023/11/20 16:28:41.368, 45.71 
2023/11/20 16:28:41.373, 45.71 
2023/11/20 16:28:41.378, 45.71 
2023/11/20 16:28:41.383, 45.71 
2023/11/20 16:28:41.388, 45.71 
2023/11/20 16:28:41.393, 45.71 
2023/11/20 16:28:41.398, 45.71 
2023/11/20 16:28:41.403, 45.71 
